date,state,total_cases,total_deaths
12/4/2020,WP KUALA LUMPUR,803,16
12/4/2020,WP PUTRAJAYA,52,0
12/4/2020,WP LABUAN,15,0
13/4/2020,PERLIS,17,1
13/4/2020,KEDAH,93,1
13/4/2020,PULAU PINANG,116,1
13/4/2020,PERAK,247,6
13/4/2020,SELANGOR,1249,5
13/4/2020,NEGERI SEMBILAN,360,7
13/4/2020,MELAKA,144,3
13/4/2020,JOHOR,579,14
13/4/2020,PAHANG,225,1
13/4/2020,TERENGGANU,106,1
13/4/2020,KELANTAN,154,3
13/4/2020,SABAH,280,3
13/4/2020,SARAWAK,348,14
13/4/2020,WP KUALA LUMPUR,830,16
13/4/2020,WP PUTRAJAYA,54,0
13/4/2020,WP LABUAN,15,0
14/4/2020,PERLIS,18,1
14/4/2020,KEDAH,93,1
14/4/2020,PULAU PINANG,119,1
14/4/2020,PERAK,250,6
14/4/2020,SELANGOR,1299,6
14/4/2020,NEGERI SEMBILAN,362,7
14/4/2020,MELAKA,147,4
14/4/2020,JOHOR,587,15
14/4/2020,PAHANG,236,1
14/4/2020,TERENGGANU,106,1
14/4/2020,KELANTAN,154,3
14/4/2020,SABAH,285,4
14/4/2020,SARAWAK,363,14
14/4/2020,WP KUALA LUMPUR,899,17
14/4/2020,WP PUTRAJAYA,54,0
14/4/2020,WP LABUAN,15,0
15/4/2020,PERLIS,18,1
15/4/2020,KEDAH,94,1
15/4/2020,PULAU PINANG,119,1
15/4/2020,PERAK,250,6
15/4/2020,SELANGOR,1316,6
15/4/2020,NEGERI SEMBILAN,363,7
15/4/2020,MELAKA,147,4
15/4/2020,JOHOR,601,15
15/4/2020,PAHANG,253,1
15/4/2020,TERENGGANU,106,1
15/4/2020,KELANTAN,154,3
15/4/2020,SABAH,285,4
15/4/2020,SARAWAK,371,14
15/4/2020,WP KUALA LUMPUR,926,18
15/4/2020,WP PUTRAJAYA,54,0
15/4/2020,WP LABUAN,15,0
16/4/2020,PERLIS,18,1
16/4/2020,KEDAH,94,1
16/4/2020,PULAU PINANG,119,1
16/4/2020,PERAK,251,6
16/4/2020,SELANGOR,1329,6
16/4/2020,NEGERI SEMBILAN,389,7
16/4/2020,MELAKA,147,4
16/4/2020,JOHOR,614,15
16/4/2020,PAHANG,261,1
16/4/2020,TERENGGANU,108,1
16/4/2020,KELANTAN,155,3
16/4/2020,SABAH,288,4
16/4/2020,SARAWAK,387,14
16/4/2020,WP KUALA LUMPUR,952,19
16/4/2020,WP PUTRAJAYA,55,0
16/4/2020,WP LABUAN,15,0
17/4/2020,PERLIS,18,1
17/4/2020,KEDAH,94,1
17/4/2020,PULAU PINANG,119,1
17/4/2020,PERAK,252,6
17/4/2020,SELANGOR,1338,6
17/4/2020,NEGERI SEMBILAN,402,7
17/4/2020,MELAKA,148,4
17/4/2020,JOHOR,623,15
17/4/2020,PAHANG,262,2
17/4/2020,TERENGGANU,108,1
17/4/2020,KELANTAN,155,3
17/4/2020,SABAH,293,4
17/4/2020,SARAWAK,397,14
17/4/2020,WP KUALA LUMPUR,971,20
17/4/2020,WP PUTRAJAYA,55,0
17/4/2020,WP LABUAN,16,0
18/4/2020,PERLIS,18,1
18/4/2020,KEDAH,94,1
18/4/2020,PULAU PINANG,119,1
18/4/2020,PERAK,252,6
18/4/2020,SELANGOR,1340,7
18/4/2020,NEGERI SEMBILAN,405,7
18/4/2020,MELAKA,148,4
18/4/2020,JOHOR,639,15
18/4/2020,PAHANG,264,2
18/4/2020,TERENGGANU,109,1
18/4/2020,KELANTAN,155,3
18/4/2020,SABAH,303,4
18/4/2020,SARAWAK,403,14
18/4/2020,WP KUALA LUMPUR,985,21
18/4/2020,WP PUTRAJAYA,55,0
18/4/2020,WP LABUAN,16,0
19/4/2020,PERLIS,18,1
19/4/2020,KEDAH,94,1
19/4/2020,PULAU PINANG,119,1
19/4/2020,PERAK,252,6
19/4/2020,SELANGOR,1343,7
19/4/2020,NEGERI SEMBILAN,405,7
19/4/2020,MELAKA,185,4
19/4/2020,JOHOR,642,16
19/4/2020,PAHANG,269,2
19/4/2020,TERENGGANU,109,1
